,Manufacturer,Model,Body,Year,price
0,41,628,1,2007,68790.53077217443
1,13,54,0,2012,26943.54787094166
2,24,318,5,2012,34024.20200788003
3,10,29,1,2007,12720.547386253402
4,4,4,2,2012,13762.689740978525
5,5,5,2,2012,19736.24659029554
6,28,536,2,2008,43368.71879964308
7,4,174,12,2007,11496.75623579699
8,5,136,1,2007,33788.44554326235
